thread_id,user_id,status,context_type,bulk_batch_id,course_id,quiz_id,attempt_id,question_id,ref_text,created_at,last_message_at,last_sender
THR_FB1F49B4B5084BFA,admin1,open,course,BULK_20251223_121450.245Z_FEE9,GP,,,,,2025-12-23T12:14:50.245Z,2025-12-23T12:14:50.245Z,admin
THR_618AE193738C4FF9,U_efa75afeb4,open,course,BULK_20251223_121450.245Z_FEE9,GP,,,,,2025-12-23T12:14:50.245Z,2025-12-23T12:14:50.245Z,admin
THR_968711E721E84663,admin1,open,question,,GP,GP-I1,ATT_7009178bab1e4a38af738a8c,GP-S1-9,"QAcademy &#8212; Question feedback (Instant quiz)
Course: General Paper
Question: 9 of 10
Topic: Fundamentals

Question:
A nurse is educating a community group about emergency response. Which of the following is the universal sign for choking?

Options (as shown):
A. Lying on the floor
B. Raising one arm above the head
C. Grasping the throat with both hands
D. Clutching the chest with both hands

My answer: (not answered yet)",2025-12-23T12:16:11.168Z,2025-12-23T12:17:46.956Z,admin
THR_1DD840E2E64D437E,admin1,open,general,BULK_20251223_121823.601Z_BCBA,,,,,,2025-12-23T12:18:23.604Z,2025-12-23T12:18:23.604Z,admin
THR_673418C283684C89,U_32fd8a50db,open,general,BULK_20251223_121823.601Z_BCBA,,,,,,2025-12-23T12:18:23.604Z,2025-12-23T12:18:23.604Z,admin
THR_7DD955A6FC2F4678,U_b3e2299c6e,open,general,BULK_20251223_121823.601Z_BCBA,,,,,,2025-12-23T12:18:23.604Z,2025-12-23T12:18:23.604Z,admin
THR_538E63158E5A41B7,U_efa75afeb4,open,general,BULK_20251223_121823.601Z_BCBA,,,,,,2025-12-23T12:18:23.604Z,2025-12-23T12:18:23.604Z,admin
THR_ADAB062A35014286,admin1,open,question,,RN_MED,,ATT_371dc7def2554dcb9c4a7e99,RN_MED-S3-86,"QAcademy &#8212; Question feedback (Timed quiz)
Course: Medicine & Medical Nursing(RN)
Question: 5 of 5
Topic: Hematology : Anemia presentations

Question:
A 22-year-old woman reports persistent tiredness, reduced exercise tolerance, and dizziness on mild exertion. Examination reveals pallor and tachycardia. What is the cardinal symptom most associated with anemia?

Options (as shown):
A. Polyuria
B. Fever
C. Cough
D. Fatigue

My answer: D &#8212; Fatigue",2025-12-23T20:33:16.389Z,2025-12-23T20:33:16.389Z,user
THR_42580B18820041D8,admin1,open,question,,GP,GP-T1,ATT_80d720774cdd40068360d735,GP-S1-1,"QAcademy &#8212; Question feedback (Timed quiz)
Course: General Paper
Question: 1 of 100
Topic: Fundamentals

Question:
Which of the following best defines the nursing process?

Options (as shown):
A. A tool used for financial auditing
B. A method of documentation used in hospitals
C. A checklist used by nurses
D. A systematic problem-solving approach to patient care

My answer: A &#8212; A tool used for financial auditing",2025-12-27T03:38:57.878Z,2025-12-27T03:38:57.878Z,user
THR_7FF1F4F1920C4103,admin1,open,question,,RN_SURG,,ATT_8c06c83f9047411a865a7c57,RN_SURG-S5-65,"QAcademy &#8212; Question feedback (Instant quiz)
Course: Surgery & Surgical Nursing(RN)
Question: 2 of 10
Topic: Orthopedics

Question:
Following orthopedic surgery, which sign suggests fat embolism?

Options (as shown):
A. Tachycardia with bounding pulse
B. Fever and wound swelling
C. Hematuria and back pain
D. Petechiae on chest, dyspnea, confusion

My answer: C &#8212; Hematuria and back pain",2025-12-27T03:40:27.485Z,2025-12-27T03:40:27.485Z,user
THR_362567AA99544D43,admin1,open,question,,RN_MED,,ATT_1ca3b33a20d84c2dbe7f6938,RN_MED-S3-69,"QAcademy - Question feedback (Instant quiz)
Course: Medicine & Medical Nursing(RN)
Question: 1 of 3
Topic: Emergency Medicine : Shock

Question:
A trauma patient arrives pale, anxious, and sweaty with rapid pulse but normal blood pressure. What is the earliest physiological sign of hypovolemic shock?

Options (as shown):
A. Hypothermia
B. Jaundice
C. Hypertension
D. Tachycardia

My answer: (not answered yet)",2026-01-02T06:16:39.622Z,2026-01-02T06:16:39.622Z,user
THR_9BD295E5ECC64F42,admin1,open,question,,RN_MED,,ATT_371dc7def2554dcb9c4a7e99,RN_MED-S2-6,"QAcademy - Question feedback (Timed quiz)
Course: Medicine & Medical Nursing(RN)
Question: 1 of 5
Topic: Nutrition:Iron Deficiency

Question:
What dietary advice is appropriate for a client with iron deficiency anemia?

Options (as shown):
A. Drink tea with meals
B. Avoid red meats
C. Avoid citrus fruits
D. Include leafy greens and organ meats

My answer: D - Include leafy greens and organ meats",2026-01-02T06:20:36.106Z,2026-01-02T06:20:36.106Z,user
THR_B77B8EAFC73C4189,admin1,open,question,,RM_MID,RM_MID-F-T1,ATT_29e8a435bd354a1687cad653,RM_MID-S1-1,"QAcademy - Question feedback (Timed quiz)
Course: Midwifery(RM)
Question: 1 of 180
Topic: Antenatal Assessment : Signs of Pregnancy

Question:
The most reliable sign of pregnancy during antenatal assessment is:

Options (as shown):
A. Nausea and vomiting
B. Breast tenderness
C. Fetal heartbeat

My answer: (not answered yet)",2026-01-15T21:35:56.744Z,2026-01-15T21:35:56.744Z,user
